"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
94800,20,1040.1543024365965,72119.999979999993,0,0,0.80267368135050166
95100,1,1040.1543024365965,72119.999979999993,0,0,0.80267368135050166
95400,6,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
95700,11,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
96000,16,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
96300,21,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
96600,2,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
96900,7,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
97200,12,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
97500,17,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
97800,22,1040.1543024365965,64559.999980000001,0,0,0.80267368135050166
98100,3,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
98400,8,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
98700,13,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
99000,18,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
99300,23,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
99600,4,1040.1543024365965,65400.000039999999,0,0,0.80267368135050166
99900,9,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
100200,14,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
100500,19,1040.1543024365965,67079.999979999993,0,0,0.80267368135050166
100800,0,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
101100,5,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
101400,10,1040.1543024365965,65399.999980000001,0,0,0.80267368135050166
101700,15,1040.1543024365965,67080.000039999999,0,0,0.80267368135050166
102000,20,1040.1543024365965,67080.000039999999,0,0,0.80267368135050166
102300,1,1040.1543024365965,67080.000039999999,0,0,0.80267368135050166
102600,6,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
102900,11,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
103200,16,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
103500,21,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
103800,2,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
104100,7,1040.1543024365965,66239.999979999993,0,0,0.80267368135050166
104400,12,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
104700,17,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
105000,22,1040.1543024365965,66240.000039999999,0,0,0.80267368135050166
105300,3,1040.1543024365965,70439.999979999993,0,0,0.80267368135050166
105600,8,1040.1543024365965,70439.999979999993,0,0,0.80267368135050166
105900,13,1040.1543024365965,70439.999979999993,0,0,0.80267368135050166
106200,18,1040.1543024365965,93959.999979999993,0,0,0.80267368135050166
106500,23,1040.1543024365965,93959.999979999993,0,0,0.80267368135050166
106800,4,1040.1543024365965,93959.999979999993,0,0,0.80267368135050166
107100,9,1040.1543024365965,122520,0,0,0.80267368135050166
107400,14,1040.1543024365965,122520,0,0,0.80267368135050166
107700,19,1040.1543024365965,122520,0,0,0.80267368135050166
108000,0,1040.1543024365965,119160,0,0,0.80267368135050166
108300,5,1040.1543024365965,119160,0,0,0.80267368135050166
108600,10,1040.1543024365965,119160,0,0,0.80267368135050166
108900,15,1040.1543024365965,118320,0,0,0.80267368135050166
109200,20,1040.1543024365965,118320,0,0,0.80267368135050166
109500,1,1040.1543024365965,118320,0,0,0.80267368135050166
109800,6,1040.1543024365965,122520,0,0,0.80267368135050166
110100,11,1040.1543024365965,122520,0,0,0.80267368135050166
110400,16,1040.1543024365965,122520,0,0,0.80267368135050166
110700,21,1040.1543024365965,139320,0,0,0.80267368135050166
111000,2,1040.1543024365965,139320,0,0,0.80267368135050166
111300,7,1040.1543024365965,139320,0,0,0.80267368135050166
111600,12,1040.1543024365965,146040,0,0,0.80267368135050166
111900,17,1040.1543024365965,146040,0,0,0.80267368135050166
112200,22,1040.1543024365965,146040,0,0,0.80267368135050166
112500,3,1040.1543024365965,156960,0,0,0.80267368135050166
112800,8,1040.1543024365965,156960,0,0,0.80267368135050166
113100,13,1040.1543024365965,156960,0,0,0.80267368135050166
113400,18,1040.1543024365965,158640,0,0,0.80267368135050166
113700,23,1040.1543024365965,158640,0,0,0.80267368135050166
114000,4,1040.1543024365965,158640,0,0,0.80267368135050166
114300,9,1040.1543024365965,162000,0,0,0.80267368135050166
114600,14,1040.1543024365965,162000,0,0,0.80267368135050166
114900,19,1040.1543024365965,162000,0,0,0.80267368135050166
115200,0,1040.1543024365965,161160,0,0,0.80267368135050166
115500,5,1040.1543024365965,161160,0,0,0.80267368135050166
115800,10,1040.1543024365965,161160,0,0,0.80267368135050166
116100,15,1040.1543024365965,161160,0,0,0.80267368135050166
116400,20,1040.1543024365965,161160,0,0,0.80267368135050166
116700,1,1040.1543024365965,161160,0,0,0.80267368135050166
117000,6,1040.1543024365965,162000,0,0,0.80267368135050166
117300,11,1040.1543024365965,162000,0,0,0.80267368135050166
117600,16,1040.1543024365965,162000,0,0,0.80267368135050166
117900,21,1040.1543024365965,159480,0,0,0.80267368135050166
118200,2,1040.1543024365965,159480,0,0,0.80267368135050166
118500,7,1040.1543024365965,159480,0,0,0.80267368135050166
118800,12,1040.1543024365965,162000,0,0,0.80267368135050166
119100,17,1040.1543024365965,162000,0,0,0.80267368135050166
119400,22,1040.1543024365965,162000,0,0,0.80267368135050166
119700,3,1040.1543024365965,158640,0,0,0.80267368135050166
120000,8,1040.1543024365965,158640,0,0,0.80267368135050166
120300,13,1040.1543024365965,158640,0,0,0.80267368135050166
120600,18,1040.1543024365965,159480,0,0,0.80267368135050166
120900,23,1040.1543024365965,159480,0,0,0.80267368135050166
121200,4,1040.1543024365965,159480,0,0,0.80267368135050166
121500,9,1040.1543024365965,161160,0,0,0.80267368135050166
121800,14,1040.1543024365965,161160,0,0,0.80267368135050166
122100,19,1040.1543024365965,161160,0,0,0.80267368135050166
122400,0,1040.1543024365965,162000,0,0,0.80267368135050166
122700,5,1040.1543024365965,162000,0,0,0.80267368135050166
123000,10,1040.1543024365965,162000,0,0,0.80267368135050166
