"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
112800,8,959.70489431824365,2725.4317679320552,1,2.2718915939331055,0.2012237887469468
113100,13,959.85740373328929,3372.8656856510206,1,2.8111391067504883,0.20191510652825226
113400,18,960.04907755293937,4944.4211531367864,1,4.120140552520752,0.20276922984146634
113700,23,960.34236806755234,7138.0753938760699,1,5.9462757110595703,0.2040157273631916
114000,4,960.7641170551791,8211.4639171661911,1,6.8374447822570801,0.20581523841276303
114300,9,961.22022819748315,8458.3293375496432,1,7.0396599769592285,0.20789674480788584
114600,14,961.6727622338384,9015.2342539276196,1,7.4996275901794434,0.21004711624800887
114900,19,962.16068712660774,9476.3375466888629,1,7.8792142868041992,0.21233546335637504
115200,0,962.67083133951837,9902.4089441414326,1,8.2291135787963867,0.21474066838240075
115500,5,963.20251439374886,10441.325176582302,1,8.6721744537353516,0.2172531362173174
115800,10,963.76458850565723,12505.257265883505,1,10.380342483520508,0.21990008496737529
116100,15,964.46541784035071,15002.596235325214,1,12.444279670715332,0.2230561931379193
116400,20,965.3059258687947,17030.542214398527,1,14.114110946655273,0.22683943923527081
116700,1,966.2431784961808,18618.871577023758,1,15.415473937988281,0.23113701688698349
117000,6,967.25436047273286,24643.480757960053,1,20.382213592529297,0.23583603876854958
117300,11,968.66838096739821,24884.824412060647,1,20.551780700683594,0.24201478630428425
117600,16,969.97906387100852,22826.361211279771,1,18.826272964477539,0.24829469232195484
117900,21,971.13495046189644,25218.294072895267,1,20.774288177490234,0.25406696900740677
118200,2,972.5020085104336,29130.937300899601,1,23.963703155517578,0.26039658612396338
118500,7,974.10124830490452,36861.918337002637,1,30.273582458496094,0.26768759875372516
118800,12,976.17537248742428,30898.305843742572,1,25.321931838989258,0.27687318510905307
119100,17,977.66747159150168,50713.065880183902,1,41.497188568115234,0.28466293202698451
119400,22,980.68788596501702,36622.100222939865,1,29.874624252319336,0.29717165731307926
119700,3,981.31030588581666,42425.341560297711,1,34.586688995361328,0.30642275503096311
120000,8,981.98006421281116,29924.745388756477,1,24.379106521606445,0.31694852249462169
120300,13,982.10825635700962,30854.942636406591,1,25.133640289306641,0.32450831379904632
120600,18,982.52690060163422,33925.912642402793,1,27.62339973449707,0.3321856018444051
120900,23,983.02941670564041,39988.447247017568,1,32.54302978515625,0.34060598871402947
121200,4,983.67191388460606,28402.052095056337,1,23.09880256652832,0.35050497857359181
121500,9,983.79913652914036,41241.127011480974,1,33.536216735839844,0.35766539502473688
121800,14,984.59748574738785,33534.910316438225,1,27.247610092163086,0.36781070883554645
122100,19,984.87106738799912,39567.964177798123,1,32.140625,0.3762070012723211
122400,0,985.50633768582986,61355.015401755845,1,49.805881500244141,0.3859833385991443
